"ID","iso_code","country_code","country_or_subregion","serotype","year","epi_week","total_cases","incidence_rate","laboratory_confirmed","perc_laboratory_confirmed","severe_dengue","SD_D_per_100","deaths","CFR","population_per_1000"
4,"ARG",32,"Argentina",NA,2014,2,114,0.27,0,0,0,0,0,0,41803
4,"BRA",76,"Brazil","DEN 1,2,3,4",2014,2,10670,5.28,3481,32.62,14,0.13,11,0.103,202034
4,"CHL",152,"Chile",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,17773
4,"PRY",600,"Paraguay","DEN 1,2,4",2014,2,1083,15.65,11,1.02,1,0.09,1,0.092,6918
4,"URY",858,"Uruguay",NA,2014,2,0,0,0,NA,0,NA,0,NA,3419
4,NA,NA,"Southern Cone",NA,2014,NA,11867,4.36,3492,29.43,15,0.13,12,0.101,271947
5,"CUB",192,"Cuba",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,11259
5,"DOM",214,"Dominican Republic","DEN 1,2,4",2014,2,440,4.18,NA,NA,19,4.32,1,0.227,10529
5,"PRI",630,"Puerto Rico","DEN 1,2,4",2014,2,224,6.08,40,17.86,0,0,0,0,3684
5,NA,NA,"Latin Caribbean",NA,2014,NA,664,2.61,40,6.02,19,2.86,1,0.151,25472
6,"AIA",660,"Anguilla",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
6,"ATG",28,"Antigua and Barbuda",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
6,"ABW",533,"Aruba",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,111
6,"BHS",44,"Bahamas",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,383
6,"BRB",52,"Barbados",NA,2014,2,52,17.93,18,34.62,NA,NA,0,0,290
6,"BMU",60,"Bermuda",NA,2014,2,0,0,0,NA,0,NA,0,NA,70
6,NA,NA,"Bonaire, Saint Eustatius and Saba",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,225
6,"CYM",136,"Cayman Islands",NA,2014,1,0,0,NA,NA,NA,NA,NA,NA,55
6,"CUW",531,"Curaçao",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,148
6,"DMA",212,"Dominica",NA,2014,1,0,0,NA,NA,NA,NA,NA,NA,73
6,"GUF",254,"French Guiana",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,255
6,"GRD",308,"Grenada",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,110
6,"GLP",312,"Guadeloupe",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,468
6,"GUY",328,"Guyana",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,804
6,"HTI",332,"Haiti",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,10461
6,"JAM",388,"Jamaica",NA,2014,2,9,0.32,3,33.33,0,0,0,0,2799
6,"MTQ",474,"Martinique",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,405
6,"MSR",500,"Montserrat",NA,2014,2,0,0,0,NA,0,NA,0,NA,5
6,"BLM",652,"Saint Barthelemy",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
6,"KNA",659,"Saint Kitts and Nevis",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
6,"LCA",662,"Saint Lucia",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,163
6,"MAF",663,"Saint Martin",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
6,"VCT",670,"Saint Vincent and the Grenadines",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,103
6,"SXM",534,"Sint Maarten",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
6,"SUR",740,"Suriname",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,544
6,"TTO",780,"Trinidad and Tobago",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1344
6,"TCA",796,"Turks and Caicos Islands",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
6,"VGB",92,"Virgin Islands (UK)",NA,2014,1,0,0,NA,NA,NA,NA,NA,NA,33
6,"VIR",850,"Virgin Islands (US)",NA,2014,2,0,0,0,NA,0,NA,0,NA,104
6,NA,NA,"Non-Latin Caribbean",NA,2014,NA,61,0.32,21,34.43,0,0,0,0,19268
7,NA,NA,"The Americas",NA,2014,NA,25668,2.71,5353,20.85,268,1.04,13,0.051,946328
