"ID","iso_code","country_code","country_or_subregion","serotype","year","epi_week","total_cases","incidence_rate","laboratory_confirmed","perc_laboratory_confirmed","severe_dengue","SD_D_per_100","deaths","CFR","population_per_1000"
6,"MSR",500,"Montserrat",NA,2014,32,7,140,0,0,0,0,0,0,5
6,"BLM",652,"Saint Barthelemy",NA,2014,39,48,137.14,48,100,0,0,0,0,35
6,"KNA",659,"Saint Kitts and Nevis",NA,2014,32,62,119.23,6,9.68,0,0,0,0,52
6,"LCA",662,"Saint Lucia","DEN 4",2014,32,98,60.12,34,34.69,0,0,0,0,163
6,"MAF",663,"Saint Martin",NA,2014,39,391,1221.88,391,100,1,0.26,0,0,32
6,"VCT",670,"Saint Vincent and the Grenadines",NA,2014,32,97,94.17,4,4.12,0,0,0,0,103
6,"SXM",534,"Sint Maarten",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
6,"SUR",740,"Suriname","DEN 2",2014,22,15,2.76,4,26.67,0,0,0,0,544
6,"TTO",780,"Trinidad and Tobago","DEN 1,4",2014,23,44,3.27,6,13.64,0,0,0,0,1344
6,"TCA",796,"Turks and Caicos Islands","DEN 1",2014,32,48,97.96,48,100,0,0,0,0,49
6,"VGB",92,"Virgin Islands (UK)",NA,2014,32,82,248.48,52,63.41,0,0,0,0,33
6,"VIR",850,"Virgin Islands (US)",NA,2014,40,16,15.38,16,100,0,0,0,0,104
6,NA,NA,"Non-Latin Caribbean",NA,2014,NA,8450,43.86,3415,40.41,29,0.34,2,0.024,19268
7,NA,NA,"The Americas",NA,2014,NA,957485,101.18,320533,33.48,10571,1.1,602,0.063,946328
1,"CAN",124,"Canada",NA,2014,41,0,NA,0,NA,0,NA,0,NA,0
1,"USA",840,"United States of America",NA,2014,41,464,0.14,464,100,0,0,0,0,322583
1,NA,NA,"North America",NA,2014,NA,464,0.14,464,100,0,0,0,0,322583
2,"BLZ",84,"Belize",NA,2014,41,1883,553.82,163,8.66,NA,NA,NA,NA,340
2,"CRI",188,"Costa Rica","DEN 1,2,3",2014,41,8756,177.32,NA,NA,NA,NA,0,0,4938
2,"SLV",222,"El Salvador","DEN 1,2,3",2014,41,47836,749.31,14596,30.51,163,0.34,5,0.01,6384
2,"GTM",320,"Guatemala","DEN 1,2,3,4",2014,41,10838,68.34,1654,15.26,58,0.54,10,0.092,15860
2,"HND",340,"Honduras","DEN 2,3,4",2014,41,26524,321.07,NA,NA,1751,6.6,2,0.008,8261
2,"MEX",484,"Mexico","DEN 1,2,3,4",2014,41,83143,67.16,18635,22.41,5276,6.35,22,0.026,123799
2,"NIC",558,"Nicaragua","DEN 1,2,3,4",2014,41,24637,399.37,1546,6.28,0,0,0,0,6169
2,"PAN",591,"Panama","DEN 1,2,3",2014,41,4722,120.28,2470,52.31,19,0.4,9,0.191,3926
2,NA,NA,"Central America Ithsmus and Mexico",NA,2014,NA,208339,122.79,39064,18.75,7267,3.49,48,0.023,169677
3,"BOL",68,"Bolivia","DEN 4",2014,41,22604,208.37,2968,13.13,359,1.59,0,0,10848
3,"COL",170,"Colombia","DEN 1,2,3,4",2014,41,82010,167.61,37189,45.35,2098,2.56,69,0.084,48930
3,"ECU",593,"Ecuador","DEN 1,2,3,4",2014,41,14343,89.74,14343,100,59,0.41,9,0.063,15983
3,"PER",604,"Peru","DEN 1,2,3,4",2014,41,15030,48.85,9497,63.19,71,0.47,25,0.166,30769
3,"VEN",862,"Venezuela","DEN 1,2,3,4",2014,41,63392,205.48,70,0.11,159,0.25,0,0,30851
3,NA,NA,"Andean Subregion",NA,2014,NA,197379,143.67,64067,32.46,2746,1.39,103,0.052,137381
4,"ARG",32,"Argentina","DEN 1,4",2014,41,2947,7.05,490,16.63,0,0,0,0,41803
4,"BRA",76,"Brazil","DEN 1,2,3,4",2014,41,543137,268.83,214754,39.54,670,0.12,400,0.074,202034
4,"CHL",152,"Chile",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,17773
4,"PRY",600,"Paraguay","DEN 1,2,4",2014,41,8730,126.19,1567,17.95,5,0.06,5,0.057,6918
4,"URY",858,"Uruguay",NA,2014,41,0,0,0,NA,0,NA,0,NA,3419
4,NA,NA,"Southern Cone",NA,2014,NA,554814,204.02,216811,39.08,675,0.12,405,0.073,271947
5,"CUB",192,"Cuba",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,11259
5,"DOM",214,"Dominican Republic","DEN 1,2,4",2014,41,4997,47.46,NA,NA,296,5.92,47,0.941,10529
5,"PRI",630,"Puerto Rico","DEN 1,2,4",2014,41,6303,171.09,451,7.16,2,0.03,0,0,3684
5,NA,NA,"Latin Caribbean",NA,2014,NA,11300,44.36,451,3.99,298,2.64,47,0.416,25472
6,"AIA",660,"Anguilla","DEN 1,4",2014,32,75,468.75,8,10.67,0,0,0,0,16
6,"ATG",28,"Antigua and Barbuda","DEN 1,4",2014,41,36,39.56,6,16.67,0,0,0,0,91
6,"ABW",533,"Aruba","DEN 1",2014,36,306,275.68,12,3.92,0,0,0,0,111
6,"BHS",44,"Bahamas","DEN 1,2",2014,40,136,35.51,11,8.09,0,0,0,0,383
6,"BRB",52,"Barbados",NA,2014,41,2040,703.45,366,17.94,NA,NA,0,0,290
6,"BMU",60,"Bermuda",NA,2014,41,0,0,0,NA,0,NA,0,NA,70
6,NA,NA,"Bonaire, Saint Eustatius and Saba",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,225
6,"CYM",136,"Cayman Islands",NA,2014,28,18,32.73,0,0,0,0,0,0,55
6,"CUW",531,"Curaçao",NA,2014,36,194,131.08,20,10.31,0,0,0,0,148
6,"DMA",212,"Dominica","DEN 4",2014,32,159,217.81,9,5.66,0,0,0,0,73
6,"GUF",254,"French Guiana","DEN 1,2,4",2014,18,1180,462.75,321,27.2,7,0.59,0,0,255
6,"GRD",308,"Grenada",NA,2014,32,38,34.55,1,2.63,0,0,0,0,110
6,"GLP",312,"Guadeloupe","DEN 1,2,4",2014,18,664,141.88,601,90.51,8,1.2,0,0,468
6,"GUY",328,"Guyana","DEN 4",2014,36,822,102.24,822,100,0,0,0,0,804
6,"HTI",332,"Haiti",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,10461
6,"JAM",388,"Jamaica",NA,2014,41,432,15.43,72,16.67,0,0,0,0,2799
6,"MTQ",474,"Martinique","DEN 1,2,4",2014,18,1680,414.81,586,34.88,11,0.65,2,0.119,405
6,"MSR",500,"Montserrat",NA,2014,32,7,140,0,0,0,0,0,0,5
6,"BLM",652,"Saint Barthelemy",NA,2014,39,48,137.14,48,100,0,0,0,0,35
6,"KNA",659,"Saint Kitts and Nevis",NA,2014,32,62,119.23,6,9.68,0,0,0,0,52
6,"LCA",662,"Saint Lucia","DEN 4",2014,32,98,60.12,34,34.69,0,0,0,0,163
6,"MAF",663,"Saint Martin",NA,2014,41,396,1237.5,396,100,1,0.25,0,0,32
6,"VCT",670,"Saint Vincent and the Grenadines",NA,2014,32,97,94.17,4,4.12,0,0,0,0,103
6,"SXM",534,"Sint Maarten",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
6,"SUR",740,"Suriname","DEN 2",2014,22,15,2.76,4,26.67,0,0,0,0,544
6,"TTO",780,"Trinidad and Tobago","DEN 1,4",2014,23,44,3.27,6,13.64,0,0,0,0,1344
6,"TCA",796,"Turks and Caicos Islands","DEN 1",2014,32,48,97.96,48,100,0,0,0,0,49
6,"VGB",92,"Virgin Islands (UK)",NA,2014,32,82,248.48,52,63.41,0,0,0,0,33
6,"VIR",850,"Virgin Islands (US)",NA,2014,41,16,15.38,16,100,0,0,0,0,104
6,NA,NA,"Non-Latin Caribbean",NA,2014,NA,8693,45.12,3449,39.68,27,0.31,2,0.023,19268
7,NA,NA,"The Americas",NA,2014,NA,980989,103.66,324306,33.06,11013,1.12,605,0.062,946328
1,"CAN",124,"Canada",NA,2014,42,0,NA,0,NA,0,NA,0,NA,0
1,"USA",840,"United States of America",NA,2014,42,484,0.15,484,100,0,0,0,0,322583
1,NA,NA,"North America",NA,2014,NA,484,0.15,484,100,0,0,0,0,322583
2,"BLZ",84,"Belize",NA,2014,42,1973,580.29,192,9.73,NA,NA,NA,NA,340
2,"CRI",188,"Costa Rica","DEN 1,2,3",2014,42,8986,181.98,NA,NA,NA,NA,0,0,4938
2,"SLV",222,"El Salvador","DEN 1,2,3",2014,42,49009,767.68,15054,30.72,167,0.34,5,0.01,6384
2,"GTM",320,"Guatemala","DEN 1,2,3,4",2014,42,11502,72.52,1654,14.38,83,0.72,10,0.087,15860
2,"HND",340,"Honduras","DEN 2,3,4",2014,42,28804,348.67,NA,NA,1824,6.33,2,0.007,8261
2,"MEX",484,"Mexico","DEN 1,2,3,4",2014,42,89404,72.22,20144,22.53,5566,6.23,24,0.027,123799
2,"NIC",558,"Nicaragua","DEN 1,2,3,4",2014,42,25594,414.88,1584,6.19,0,0,0,0,6169
2,"PAN",591,"Panama","DEN 1,2,3",2014,42,4750,120.99,2489,52.4,19,0.4,9,0.189,3926
2,NA,NA,"Central America Ithsmus and Mexico",NA,2014,NA,220022,129.67,41117,18.69,7659,3.48,50,0.023,169677
3,"BOL",68,"Bolivia","DEN 4",2014,42,22605,208.38,2989,13.22,360,1.59,0,0,10848
3,"COL",170,"Colombia","DEN 1,2,3,4",2014,42,84276,172.24,38246,45.38,2144,2.54,69,0.082,48930
3,"ECU",593,"Ecuador","DEN 1,2,3,4",2014,42,14428,90.27,14428,100,63,0.44,9,0.062,15983
3,"PER",604,"Peru","DEN 1,2,3,4",2014,42,15435,50.16,9616,62.3,73,0.47,25,0.162,30769
3,"VEN",862,"Venezuela","DEN 1,2,3,4",2014,42,67118,217.56,70,0.1,161,0.24,0,0,30851
3,NA,NA,"Andean Subregion",NA,2014,NA,203862,148.39,65349,32.06,2801,1.37,103,0.051,137381
4,"ARG",32,"Argentina","DEN 1,4",2014,42,2974,7.11,490,16.48,0,0,0,0,41803
4,"BRA",76,"Brazil","DEN 1,2,3,4",2014,42,548290,271.39,215473,39.3,674,0.12,403,0.074,202034
4,"CHL",152,"Chile",NA,2014,42,25,0.14,25,100,0,0,0,0,17773
4,"PRY",600,"Paraguay","DEN 1,2,4",2014,42,8785,126.99,1568,17.85,5,0.06,5,0.057,6918
4,"URY",858,"Uruguay",NA,2014,42,0,0,0,NA,0,NA,0,NA,3419
4,NA,NA,"Southern Cone",NA,2014,NA,560074,205.95,217556,38.84,679,0.12,408,0.073,271947
5,"CUB",192,"Cuba",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,11259
5,"DOM",214,"Dominican Republic","DEN 1,2,4",2014,42,5153,48.94,NA,NA,311,6.04,47,0.912,10529
5,"PRI",630,"Puerto Rico","DEN 1,2,4",2014,42,6508,176.66,457,7.02,2,0.03,0,0,3684
5,NA,NA,"Latin Caribbean",NA,2014,NA,11661,45.78,457,3.92,313,2.68,47,0.403,25472
6,"AIA",660,"Anguilla","DEN 1,4",2014,32,75,468.75,8,10.67,0,0,0,0,16
6,"ATG",28,"Antigua and Barbuda","DEN 1,4",2014,42,36,39.56,6,16.67,0,0,0,0,91
6,"ABW",533,"Aruba","DEN 1",2014,36,306,275.68,12,3.92,0,0,0,0,111
6,"BHS",44,"Bahamas","DEN 1,2",2014,40,136,35.51,11,8.09,0,0,0,0,383
6,"BRB",52,"Barbados",NA,2014,42,2196,757.24,395,17.99,NA,NA,0,0,290
6,"BMU",60,"Bermuda",NA,2014,42,0,0,0,NA,0,NA,0,NA,70
6,NA,NA,"Bonaire, Saint Eustatius and Saba",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,225
6,"CYM",136,"Cayman Islands",NA,2014,28,18,32.73,0,0,0,0,0,0,55
6,"CUW",531,"Curaçao",NA,2014,36,194,131.08,20,10.31,0,0,0,0,148
6,"DMA",212,"Dominica","DEN 4",2014,32,159,217.81,9,5.66,0,0,0,0,73
6,"GUF",254,"French Guiana","DEN 1,2,4",2014,18,1180,462.75,321,27.2,7,0.59,0,0,255
6,"GRD",308,"Grenada",NA,2014,32,38,34.55,1,2.63,0,0,0,0,110
6,"GLP",312,"Guadeloupe","DEN 1,2,4",2014,18,664,141.88,601,90.51,8,1.2,0,0,468
6,"GUY",328,"Guyana","DEN 4",2014,36,822,102.24,822,100,0,0,0,0,804
6,"HTI",332,"Haiti",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,10461
6,"JAM",388,"Jamaica",NA,2014,42,503,17.97,72,14.31,0,0,0,0,2799
6,"MTQ",474,"Martinique","DEN 1,2,4",2014,18,1680,414.81,586,34.88,11,0.65,2,0.119,405
6,"MSR",500,"Montserrat",NA,2014,32,7,140,0,0,0,0,0,0,5
6,"BLM",652,"Saint Barthelemy",NA,2014,39,48,137.14,48,100,0,0,0,0,35
6,"KNA",659,"Saint Kitts and Nevis",NA,2014,32,62,119.23,6,9.68,0,0,0,0,52
6,"LCA",662,"Saint Lucia","DEN 4",2014,32,98,60.12,34,34.69,0,0,0,0,163
6,"MAF",663,"Saint Martin",NA,2014,42,396,1237.5,396,100,1,0.25,0,0,32
6,"VCT",670,"Saint Vincent and the Grenadines",NA,2014,32,97,94.17,4,4.12,0,0,0,0,103
6,"SXM",534,"Sint Maarten",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
6,"SUR",740,"Suriname","DEN 2",2014,22,15,2.76,4,26.67,0,0,0,0,544
6,"TTO",780,"Trinidad and Tobago","DEN 1,4",2014,23,44,3.27,6,13.64,0,0,0,0,1344
6,"TCA",796,"Turks and Caicos Islands","DEN 1",2014,32,48,97.96,48,100,0,0,0,0,49
6,"VGB",92,"Virgin Islands (UK)",NA,2014,32,82,248.48,52,63.41,0,0,0,0,33
6,"VIR",850,"Virgin Islands (US)",NA,2014,42,16,15.38,16,100,0,0,0,0,104
6,NA,NA,"Non-Latin Caribbean",NA,2014,NA,8920,46.29,3478,38.99,27,0.3,2,0.022,19268
7,NA,NA,"The Americas",NA,2014,NA,1005023,106.2,328441,32.68,11479,1.14,610,0.061,946328
1,"CAN",124,"Canada",NA,2014,43,0,NA,0,NA,0,NA,0,NA,0
1,"USA",840,"United States of America",NA,2014,43,501,0.16,501,100,0,0,0,0,322583
1,NA,NA,"North America",NA,2014,NA,501,0.16,501,100,0,0,0,0,322583
2,"BLZ",84,"Belize",NA,2014,43,2109,620.29,207,9.82,NA,NA,NA,NA,340
2,"CRI",188,"Costa Rica","DEN 1,2,3",2014,43,9184,185.99,NA,NA,NA,NA,0,0,4938
2,"SLV",222,"El Salvador","DEN 1,2,3",2014,43,49987,783,15367,30.74,169,0.34,5,0.01,6384
2,"GTM",320,"Guatemala","DEN 1,2,3,4",2014,43,12585,79.35,1654,13.14,108,0.86,10,0.079,15860
2,"HND",340,"Honduras","DEN 2,3,4",2014,43,30980,375.02,NA,NA,1913,6.17,2,0.006,8261
2,"MEX",484,"Mexico","DEN 1,2,3,4",2014,43,95252,76.94,21769,22.85,5951,6.25,27,0.028,123799
2,"NIC",558,"Nicaragua","DEN 1,2,3,4",2014,43,26444,428.66,1608,6.08,0,0,0,0,6169
2,"PAN",591,"Panama","DEN 1,2,3",2014,43,4771,121.52,2508,52.57,19,0.4,9,0.189,3926
2,NA,NA,"Central America Ithsmus and Mexico",NA,2014,NA,231312,136.32,43113,18.64,8160,3.53,53,0.023,169677
3,"BOL",68,"Bolivia","DEN 4",2014,43,22609,208.42,3014,13.33,362,1.6,0,0,10848
3,"COL",170,"Colombia","DEN 1,2,3,4",2014,43,86704,177.2,39373,45.41,2209,2.55,70,0.081,48930
3,"ECU",593,"Ecuador","DEN 1,2,3,4",2014,43,14572,91.17,14572,100,63,0.43,9,0.062,15983
3,"PER",604,"Peru","DEN 1,2,3,4",2014,43,15601,50.7,9694,62.14,75,0.48,25,0.16,30769
3,"VEN",862,"Venezuela","DEN 1,2,3,4",2014,43,70843,229.63,70,0.1,164,0.23,0,0,30851
3,NA,NA,"Andean Subregion",NA,2014,NA,210329,153.1,66723,31.72,2873,1.37,104,0.049,137381
4,"ARG",32,"Argentina","DEN 1,4",2014,43,3001,7.18,490,16.33,0,0,0,0,41803
4,"BRA",76,"Brazil","DEN 1,2,3,4",2014,43,553295,273.86,216168,39.07,675,0.12,403,0.073,202034
4,"CHL",152,"Chile",NA,2014,42,25,0.14,25,100,0,0,0,0,17773
4,"PRY",600,"Paraguay","DEN 1,2,4",2014,43,8986,129.89,1840,20.48,5,0.06,5,0.056,6918
4,"URY",858,"Uruguay",NA,2014,43,0,0,0,NA,0,NA,0,NA,3419
4,NA,NA,"Southern Cone",NA,2014,NA,565307,207.87,218523,38.66,680,0.12,408,0.072,271947
5,"CUB",192,"Cuba",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,11259
5,"DOM",214,"Dominican Republic","DEN 1,2,4",2014,43,5295,50.29,NA,NA,319,6.02,48,0.907,10529
5,"PRI",630,"Puerto Rico","DEN 1,2,4",2014,43,6734,182.79,461,6.85,2,0.03,0,0,3684
5,NA,NA,"Latin Caribbean",NA,2014,NA,12029,47.22,461,3.83,321,2.67,48,0.399,25472
6,"AIA",660,"Anguilla","DEN 1,4",2014,32,75,468.75,8,10.67,0,0,0,0,16
6,"ATG",28,"Antigua and Barbuda","DEN 1,4",2014,43,36,39.56,6,16.67,0,0,0,0,91
6,"ABW",533,"Aruba","DEN 1",2014,36,306,275.68,12,3.92,0,0,0,0,111
6,"BHS",44,"Bahamas","DEN 1,2",2014,40,136,35.51,11,8.09,0,0,0,0,383
6,"BRB",52,"Barbados",NA,2014,43,2327,802.41,412,17.71,NA,NA,0,0,290
6,"BMU",60,"Bermuda",NA,2014,43,0,0,0,NA,0,NA,0,NA,70
6,NA,NA,"Bonaire, Saint Eustatius and Saba",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,225
6,"CYM",136,"Cayman Islands",NA,2014,28,18,32.73,0,0,0,0,0,0,55
6,"CUW",531,"Curaçao",NA,2014,36,194,131.08,20,10.31,0,0,0,0,148
6,"DMA",212,"Dominica","DEN 4",2014,32,159,217.81,9,5.66,0,0,0,0,73
6,"GUF",254,"French Guiana","DEN 1,2,4",2014,18,1180,462.75,321,27.2,7,0.59,0,0,255
6,"GRD",308,"Grenada",NA,2014,32,38,34.55,1,2.63,0,0,0,0,110
6,"GLP",312,"Guadeloupe","DEN 1,2,4",2014,18,664,141.88,601,90.51,8,1.2,0,0,468
6,"GUY",328,"Guyana","DEN 4",2014,36,822,102.24,822,100,0,0,0,0,804
6,"HTI",332,"Haiti",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,10461
6,"JAM",388,"Jamaica",NA,2014,43,607,21.69,72,11.86,0,0,0,0,2799
6,"MTQ",474,"Martinique","DEN 1,2,4",2014,43,1680,414.81,710,42.26,11,0.65,2,0.119,405
6,"MSR",500,"Montserrat",NA,2014,32,7,140,0,0,0,0,0,0,5
6,"BLM",652,"Saint Barthelemy",NA,2014,43,50,142.86,50,100,0,0,0,0,35
6,"KNA",659,"Saint Kitts and Nevis",NA,2014,32,62,119.23,6,9.68,0,0,0,0,52
6,"LCA",662,"Saint Lucia","DEN 4",2014,43,112,68.71,69,61.61,0,0,0,0,163
6,"MAF",663,"Saint Martin",NA,2014,43,396,1237.5,396,100,1,0.25,0,0,32
6,"VCT",670,"Saint Vincent and the Grenadines",NA,2014,32,97,94.17,4,4.12,0,0,0,0,103
6,"SXM",534,"Sint Maarten",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
6,"SUR",740,"Suriname","DEN 2",2014,22,15,2.76,4,26.67,0,0,0,0,544
6,"TTO",780,"Trinidad and Tobago","DEN 1,4",2014,23,44,3.27,6,13.64,0,0,0,0,1344
6,"TCA",796,"Turks and Caicos Islands","DEN 1",2014,32,48,97.96,48,100,0,0,0,0,49
6,"VGB",92,"Virgin Islands (UK)",NA,2014,32,82,248.48,52,63.41,0,0,0,0,33
6,"VIR",850,"Virgin Islands (US)",NA,2014,43,16,15.38,16,100,0,0,0,0,104
6,NA,NA,"Non-Latin Caribbean",NA,2014,NA,9171,47.6,3656,39.86,27,0.29,2,0.022,19268
7,NA,NA,"The Americas",NA,2014,NA,1028649,108.7,332977,32.37,12061,1.17,615,0.06,946328
1,"CAN",124,"Canada",NA,2014,44,0,NA,0,NA,0,NA,0,NA,0
1,"USA",840,"United States of America",NA,2014,44,539,0.17,539,100,0,0,0,0,322583
1,NA,NA,"North America",NA,2014,NA,539,0.17,539,100,0,0,0,0,322583
2,"BLZ",84,"Belize",NA,2014,44,2193,645,210,9.58,NA,NA,NA,NA,340
2,"CRI",188,"Costa Rica","DEN 1,2,3",2014,44,9416,190.68,NA,NA,NA,NA,0,0,4938
2,"SLV",222,"El Salvador","DEN 1,2,3",2014,44,50754,795.02,15580,30.7,177,0.35,5,0.01,6384
2,"GTM",320,"Guatemala","DEN 1,2,3,4",2014,44,13170,83.04,1654,12.56,114,0.87,10,0.076,15860
2,"HND",340,"Honduras","DEN 2,3,4",2014,44,32665,395.41,NA,NA,1987,6.08,2,0.006,8261
2,"MEX",484,"Mexico","DEN 1,2,3,4",2014,44,100499,81.18,23533,23.42,6437,6.41,29,0.029,123799
2,"NIC",558,"Nicaragua","DEN 1,2,3,4",2014,44,27481,445.47,1641,5.97,0,0,0,0,6169
2,"PAN",591,"Panama","DEN 1,2,3",2014,44,4813,122.59,2536,52.69,19,0.39,9,0.187,3926
2,NA,NA,"Central America Ithsmus and Mexico",NA,2014,NA,240991,142.03,45154,18.74,8734,3.62,55,0.023,169677
3,"BOL",68,"Bolivia","DEN 4",2014,44,22611,208.43,3043,13.46,364,1.61,0,0,10848
3,"COL",170,"Colombia","DEN 1,2,3,4",2014,44,88928,181.75,40097,45.09,2255,2.54,76,0.085,48930
3,"ECU",593,"Ecuador","DEN 1,2,3,4",2014,44,14748,92.27,14748,100,63,0.43,9,0.061,15983
3,"PER",604,"Peru","DEN 1,2,3,4",2014,44,15852,51.52,9756,61.54,78,0.49,27,0.17,30769
3,"VEN",862,"Venezuela","DEN 1,2,3,4",2014,44,75020,243.17,70,0.09,187,0.25,0,0,30851
3,NA,NA,"Andean Subregion",NA,2014,NA,217159,158.07,67714,31.18,2947,1.36,112,0.052,137381
4,"ARG",32,"Argentina","DEN 1,4",2014,44,3026,7.24,490,16.19,0,0,0,0,41803
4,"BRA",76,"Brazil","DEN 1,2,3,4",2014,44,558014,276.2,216887,38.87,677,0.12,405,0.073,202034
4,"CHL",152,"Chile",NA,2014,42,25,0.14,25,100,0,0,0,0,17773
4,"PRY",600,"Paraguay","DEN 1,2,4",2014,44,8913,128.84,1884,21.14,5,0.06,5,0.056,6918
4,"URY",858,"Uruguay",NA,2014,44,0,0,0,NA,0,NA,0,NA,3419
4,NA,NA,"Southern Cone",NA,2014,NA,569978,209.59,219286,38.47,682,0.12,410,0.072,271947
5,"CUB",192,"Cuba",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,11259
5,"DOM",214,"Dominican Republic","DEN 1,2,4",2014,44,5430,51.57,NA,NA,334,6.15,48,0.884,10529
5,"PRI",630,"Puerto Rico","DEN 1,2,4",2014,44,6952,188.71,465,6.69,2,0.03,0,0,3684
5,NA,NA,"Latin Caribbean",NA,2014,NA,12382,48.61,465,3.76,336,2.71,48,0.388,25472
6,"AIA",660,"Anguilla","DEN 1,4",2014,44,85,531.25,8,9.41,0,0,0,0,16
6,"ATG",28,"Antigua and Barbuda","DEN 1,4",2014,44,37,40.66,17,45.95,0,0,0,0,91
6,"ABW",533,"Aruba","DEN 1",2014,36,306,275.68,12,3.92,0,0,0,0,111
6,"BHS",44,"Bahamas","DEN 1,2",2014,40,136,35.51,11,8.09,0,0,0,0,383
6,"BRB",52,"Barbados",NA,2014,44,2411,831.38,429,17.79,NA,NA,0,0,290
6,"BMU",60,"Bermuda",NA,2014,44,0,0,0,NA,0,NA,0,NA,70
6,NA,NA,"Bonaire, Saint Eustatius and Saba",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,225
6,"CYM",136,"Cayman Islands","DEN 1,3",2014,44,105,190.91,4,3.81,0,0,0,0,55
6,"CUW",531,"Curaçao",NA,2014,36,194,131.08,20,10.31,0,0,0,0,148
6,"DMA",212,"Dominica","DEN 4",2014,32,159,217.81,9,5.66,0,0,0,0,73
6,"GUF",254,"French Guiana","DEN 1,2,4",2014,18,1180,462.75,321,27.2,7,0.59,0,0,255
6,"GRD",308,"Grenada",NA,2014,32,38,34.55,1,2.63,0,0,0,0,110
6,"GLP",312,"Guadeloupe","DEN 1,2,4",2014,18,664,141.88,601,90.51,8,1.2,0,0,468
6,"GUY",328,"Guyana","DEN 4",2014,36,822,102.24,822,100,0,0,0,0,804
6,"HTI",332,"Haiti",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,10461
6,"JAM",388,"Jamaica",NA,2014,44,617,22.04,72,11.67,0,0,0,0,2799
6,"MTQ",474,"Martinique","DEN 1,2,4",2014,43,1680,414.81,710,42.26,11,0.65,2,0.119,405
6,"MSR",500,"Montserrat",NA,2014,32,7,140,0,0,0,0,0,0,5
6,"BLM",652,"Saint Barthelemy",NA,2014,43,50,142.86,50,100,0,0,0,0,35
6,"KNA",659,"Saint Kitts and Nevis",NA,2014,32,62,119.23,6,9.68,0,0,0,0,52
6,"LCA",662,"Saint Lucia","DEN 4",2014,43,112,68.71,69,61.61,0,0,0,0,163
6,"MAF",663,"Saint Martin",NA,2014,43,396,1237.5,396,100,1,0.25,0,0,32
6,"VCT",670,"Saint Vincent and the Grenadines",NA,2014,44,117,113.59,8,6.84,0,0,0,0,103
6,"SXM",534,"Sint Maarten",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
6,"SUR",740,"Suriname","DEN 2",2014,44,19,3.49,4,21.05,0,0,0,0,544
6,"TTO",780,"Trinidad and Tobago","DEN 1,4",2014,44,128,9.52,16,12.5,0,0,0,0,1344
6,"TCA",796,"Turks and Caicos Islands","DEN 1",2014,32,48,97.96,48,100,0,0,0,0,49
6,"VGB",92,"Virgin Islands (UK)",NA,2014,44,205,621.21,59,28.78,0,0,0,0,33
6,"VIR",850,"Virgin Islands (US)",NA,2014,44,16,15.38,16,100,0,0,0,0,104
6,NA,NA,"Non-Latin Caribbean",NA,2014,NA,9594,49.79,3709,38.66,27,0.28,2,0.021,19268
7,NA,NA,"The Americas",NA,2014,NA,1050643,111.02,336867,32.06,12726,1.21,627,0.06,946328
1,"CAN",124,"Canada",NA,2014,45,0,NA,0,NA,0,NA,0,NA,0
1,"USA",840,"United States of America",NA,2014,45,568,0.18,568,100,0,0,0,0,322583
1,NA,NA,"North America",NA,2014,NA,568,0.18,568,100,0,0,0,0,322583
2,"BLZ",84,"Belize",NA,2014,45,2260,664.71,217,9.6,NA,NA,NA,NA,340
2,"CRI",188,"Costa Rica","DEN 1,2,3",2014,45,9605,194.51,NA,NA,NA,NA,0,0,4938
2,"SLV",222,"El Salvador","DEN 1,2,3",2014,45,51276,803.2,15712,30.64,177,0.35,5,0.01,6384
2,"GTM",320,"Guatemala","DEN 1,2,3,4",2014,45,13793,86.97,1654,11.99,115,0.83,10,0.073,15860
2,"HND",340,"Honduras","DEN 2,3,4",2014,45,34612,418.98,NA,NA,2029,5.86,2,0.006,8261
2,"MEX",484,"Mexico","DEN 1,2,3,4",2014,45,105352,85.1,24636,23.38,6768,6.42,31,0.029,123799
2,"NIC",558,"Nicaragua","DEN 1,2,3,4",2014,45,28548,462.77,1671,5.85,0,0,0,0,6169
2,"PAN",591,"Panama","DEN 1,2,3",2014,45,4830,123.03,2546,52.71,19,0.39,9,0.186,3926
