"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Dengue","Travel-associated cases","Reported cases","N","2008-03","MT","Malta",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-03","PL","Poland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-03","RO","Romania",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-03","SE","Sweden",12.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-03","SI","Slovenia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-03","SK","Slovakia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","AT","Austria",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","BE","Belgium",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","CZ","Czechia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","DE","Germany",30.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","EE","Estonia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","EL","Greece",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","ES","Spain",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","EU_EEA31","EU/EEA",40.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","EU28","EU",40.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","FI","Finland",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","FR","France",2.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","HU","Hungary",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","IE","Ireland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","IT","Italy",2.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","LT","Lithuania",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","LU","Luxembourg",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","LV","Latvia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","MT","Malta",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","PL","Poland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","RO","Romania",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","SE","Sweden",5.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","SI","Slovenia",1.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-04","SK","Slovakia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","AT","Austria",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","BE","Belgium",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","CZ","Czechia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","DE","Germany",24.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","EE","Estonia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","EL","Greece",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","ES","Spain",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","EU_EEA31","EU/EEA",37.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","EU28","EU",37.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","FI","Finland",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","FR","France",6.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","HU","Hungary",1.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-05","IE","Ireland",0.000000000,""
